,ccaa_iso,fecha,num_casos,num_casos_prueba_pcr,num_casos_prueba_test_ac,num_casos_prueba_otras,num_casos_prueba_desconocida
215,CM,2020-02-11,0,0,0,0,0
216,CN,2020-02-11,0,0,0,0,0
217,CT,2020-02-11,3,2,0,0,1
218,EX,2020-02-11,0,0,0,0,0
219,GA,2020-02-11,0,0,0,0,0
220,IB,2020-02-11,0,0,0,0,0
221,MC,2020-02-11,0,0,0,0,0
222,MD,2020-02-11,9,9,0,0,0
223,ML,2020-02-11,0,0,0,0,0
224,NC,2020-02-11,0,0,0,0,0
225,PV,2020-02-11,0,0,0,0,0
226,RI,2020-02-11,0,0,0,0,0
227,VC,2020-02-11,1,1,0,0,0
228,AN,2020-02-12,1,1,0,0,0
229,AR,2020-02-12,0,0,0,0,0
230,AS,2020-02-12,0,0,0,0,0
231,CB,2020-02-12,0,0,0,0,0
232,CE,2020-02-12,0,0,0,0,0
233,CL,2020-02-12,2,2,0,0,0
234,CM,2020-02-12,0,0,0,0,0
235,CN,2020-02-12,1,1,0,0,0
236,CT,2020-02-12,7,6,0,0,1
237,EX,2020-02-12,0,0,0,0,0
238,GA,2020-02-12,0,0,0,0,0
239,IB,2020-02-12,0,0,0,0,0
240,MC,2020-02-12,0,0,0,0,0
241,MD,2020-02-12,10,10,0,0,0
242,ML,2020-02-12,0,0,0,0,0
243,NC,2020-02-12,0,0,0,0,0
244,PV,2020-02-12,2,2,0,0,0
245,RI,2020-02-12,0,0,0,0,0
246,VC,2020-02-12,1,1,0,0,0
247,AN,2020-02-13,2,1,1,0,0
248,AR,2020-02-13,1,1,0,0,0
249,AS,2020-02-13,0,0,0,0,0
250,CB,2020-02-13,0,0,0,0,0
251,CE,2020-02-13,1,0,1,0,0
252,CL,2020-02-13,3,0,3,0,0
253,CM,2020-02-13,0,0,0,0,0
254,CN,2020-02-13,0,0,0,0,0
255,CT,2020-02-13,9,7,0,0,2
256,EX,2020-02-13,1,0,1,0,0
257,GA,2020-02-13,0,0,0,0,0
258,IB,2020-02-13,0,0,0,0,0
259,MC,2020-02-13,0,0,0,0,0
260,MD,2020-02-13,15,15,0,0,0
261,ML,2020-02-13,0,0,0,0,0
262,NC,2020-02-13,0,0,0,0,0
263,PV,2020-02-13,0,0,0,0,0
264,RI,2020-02-13,0,0,0,0,0
265,VC,2020-02-13,2,1,1,0,0
266,AN,2020-02-14,1,1,0,0,0
267,AR,2020-02-14,0,0,0,0,0
268,AS,2020-02-14,0,0,0,0,0
269,CB,2020-02-14,0,0,0,0,0
270,CE,2020-02-14,0,0,0,0,0
271,CL,2020-02-14,1,1,0,0,0
272,CM,2020-02-14,0,0,0,0,0
273,CN,2020-02-14,1,1,0,0,0
274,CT,2020-02-14,1,1,0,0,0
275,EX,2020-02-14,1,1,0,0,0
276,GA,2020-02-14,0,0,0,0,0
277,IB,2020-02-14,1,1,0,0,0
