,ccaa_iso,fecha,casos,num_casos_prueba_pcr,num_casos_prueba_test_ac,num_casos_prueba_otras,num_casos_prueba_desconocida,ccaa_nombre,ocio,compra,parques,transporte,trabajo,residencial,reuniones,host_int,host_ext,aforo_comercial,ocio_nocturno,Pob,Sup,Densidad
45,ES-CN,2020-02-02,1,0,0,0,1,Canarias,-3.0,-2.0,-2.0,1.0,2.0,0.0,100,1.0,1.0,1.0,1.0,2153389.0,7445.1,289.2357389423916
46,ES-CT,2020-02-02,2,1,0,0,1,Cataluña,0.0,1.0,10.0,4.0,2.0,0.0,100,1.0,1.0,1.0,1.0,7675217.0,32109.05,239.0359415803333
47,ES-EX,2020-02-02,2,0,2,0,0,Extremadura,-2.0,2.0,5.0,1.0,5.0,-2.0,100,1.0,1.0,1.0,1.0,1067710.0,41635.33,25.64432658513815
48,ES-GA,2020-02-02,1,1,0,0,0,Galicia,1.0,3.0,19.0,9.0,5.0,-1.0,100,1.0,1.0,1.0,1.0,2699499.0,29576.44,91.27193806962569
49,ES-IB,2020-02-02,0,0,0,0,0,Illes Balears,3.0,3.0,15.0,14.0,4.0,0.0,100,1.0,1.0,1.0,1.0,1149460.0,4991.71,230.2737939503697
50,ES-MC,2020-02-02,0,0,0,0,0,Murcia,-1.0,1.0,2.0,6.0,13.0,-2.0,100,1.0,1.0,1.0,1.0,1493898.0,11313.87,132.04129091106756
51,ES-MD,2020-02-02,6,6,0,0,0,Comunidad de Madrid,1.0,3.0,10.0,4.0,4.0,-1.0,100,1.0,1.0,1.0,1.0,6663394.0,8021.6,830.6814101924803
52,ES-ML,2020-02-02,0,0,0,0,0,Melilla,-1.0,-3.0,-2.0,-2.0,3.0,-1.0,100,1.0,1.0,1.0,1.0,86487.0,14.24,6073.525280898876
53,ES-NC,2020-02-02,0,0,0,0,0,Comunidad Foral de Navarra,0.0,3.0,2.0,-40.0,3.0,-1.0,100,1.0,1.0,1.0,1.0,654214.0,9801.01,66.74965131144647
54,ES-PV,2020-02-02,0,0,0,0,0,País Vasco,-8.0,-1.0,-30.0,-1.0,2.0,0.0,100,1.0,1.0,1.0,1.0,2207776.0,7091.91,311.30908316659406
55,ES-RI,2020-02-02,0,0,0,0,0,La Rioja,-2.0,1.0,-6.0,-1.0,3.0,0.0,100,1.0,1.0,1.0,1.0,316798.0,5027.69,63.0106470367107
56,ES-VC,2020-02-02,0,0,0,0,0,Comunitat Valenciana,-2.0,2.0,9.0,4.0,3.0,0.0,100,1.0,1.0,1.0,1.0,5003769.0,23261.91,215.10568134774832
57,ES-AN,2020-02-03,1,1,0,0,0,Andalucía,-1.0,0.0,6.0,7.0,4.0,-1.0,100,1.0,1.0,1.0,1.0,8414240.0,87588.45,96.06563422460381
58,ES-AR,2020-02-03,0,0,0,0,0,Aragón,0.0,0.0,16.0,1.0,5.0,0.0,100,1.0,1.0,1.0,1.0,1319291.0,47698.07,27.6592113685103
59,ES-AS,2020-02-03,0,0,0,0,0,Principado de Asturias,-2.0,1.0,11.0,5.0,4.0,-1.0,100,1.0,1.0,1.0,1.0,1022800.0,10597.42,96.51405719505314
